"","node_id","B4","B41","B411","B4111","B4112","B4113","B4114","B4119","B412","B4121","B4122","B41225","B4123","B41234","B4124","B4126","B4127","B4129","B41291","B41292","B41299","B413","B419","B42","B421","B4211","B42111","B42112","B42113","B42119","B4212","B4219","B422","B4221","B42211","B422111","B422112","B42212","B42213","B422131","B422132","B42215","B42219","B4222","B4229","B43","B45","B46","B47","B48","B49"
"1",2,43,15,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,8,0,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,3
"2",3,20,7,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,1,0
"3",6,7,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"4",7,352,130,75,0,0,42,2,4,6,1,0,0,0,0,1,0,0,1,1,0,0,31,8,131,102,86,7,20,12,3,8,3,28,26,1,0,0,0,4,0,0,1,1,1,0,22,19,0,9,2,10
"5",8,69,28,13,0,1,3,0,2,2,0,0,0,0,0,0,0,1,1,0,0,1,3,7,24,20,17,2,1,0,0,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0,3,7,0,3,0,2
"6",9,514,87,58,0,0,3,8,2,6,0,1,1,1,1,0,1,0,2,0,1,0,12,4,280,167,138,8,13,9,2,7,0,108,105,3,0,1,51,20,0,0,0,1,0,1,89,13,1,8,0,25
"7",10,118,26,16,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,80,40,35,3,10,0,0,1,0,40,38,12,2,0,4,16,6,1,0,0,1,1,9,2,0,0,0,0
"8",11,34,16,6,1,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,5,3,10,7,6,1,1,1,0,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,1
"9",12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
